station_name,latitude,longitude,sensor_id,station_id,pollutant,pollutant_symbol,pollutant_code,pollutant_id
"Wodzisław Śląski, ul. Gałczyńskiego",50.007629,18.455548,5550,845,dwutlenek siarki,SO2,SO2,1
"Wodzisław Śląski, ul. Gałczyńskiego",50.007629,18.455548,5540,845,tlenek węgla,CO,CO,8
"Wodzisław Śląski, ul. Gałczyńskiego",50.007629,18.455548,5543,845,dwutlenek azotu,NO2,NO2,6
"Wodzisław Śląski, ul. Gałczyńskiego",50.007629,18.455548,5545,845,ozon,O3,O3,5
"Wodzisław Śląski, ul. Gałczyńskiego",50.007629,18.455548,5547,845,pył zawieszony PM10,PM10,PM10,3
"Złoty Potok, Leśniczówka",50.710889,19.458797,5600,853,benzen,C6H6,C6H6,10
"Złoty Potok, Leśniczówka",50.710889,19.458797,5612,853,dwutlenek azotu,NO2,NO2,6
"Złoty Potok, Leśniczówka",50.710889,19.458797,5615,853,ozon,O3,O3,5
"Złoty Potok, Leśniczówka",50.710889,19.458797,5618,853,pył zawieszony PM10,PM10,PM10,3
"Złoty Potok, Leśniczówka",50.710889,19.458797,5619,853,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Złoty Potok, Leśniczówka",50.710889,19.458797,5623,853,dwutlenek siarki,SO2,SO2,1
"Żywiec, ul. Kopernika",49.671602,19.234446,14915,856,dwutlenek siarki,SO2,SO2,1
"Żywiec, ul. Kopernika",49.671602,19.234446,14916,856,pył zawieszony PM10,PM10,PM10,3
"Żywiec, ul. Kopernika",49.671602,19.234446,14917,856,dwutlenek azotu,NO2,NO2,6
"Żywiec, ul. Kopernika",49.671602,19.234446,21329,856,benzen,C6H6,C6H6,10
"Czerwionka-Leszczyny, ul. Kopalniana",50.16385,18.659977,14498,9000,benzen,C6H6,C6H6,10
"Lubliniec, ul. ks. Szymały",50.675693,18.682065,21303,11278,dwutlenek siarki,SO2,SO2,1
"Lubliniec, ul. ks. Szymały",50.675693,18.682065,20220,11278,pył zawieszony PM10,PM10,PM10,3
"Lubliniec, ul. ks. Szymały",50.675693,18.682065,21328,11278,benzen,C6H6,C6H6,10
"Zawiercie, ul. K.I.Gałczyńskiego",50.493045,19.439012,20661,11455,pył zawieszony PM10,PM10,PM10,3
"Goczałkowice Zdrój, ul. Parkowa",49.937850,18.975594,21083,11457,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Goczałkowice Zdrój, ul. Parkowa",49.937850,18.975594,20679,11457,dwutlenek azotu,NO2,NO2,6
"Goczałkowice Zdrój, ul. Parkowa",49.937850,18.975594,20681,11457,pył zawieszony PM10,PM10,PM10,3
"Goczałkowice Zdrój, ul. Parkowa",49.937850,18.975594,20684,11457,ozon,O3,O3,5
"Goczałkowice Zdrój, ul. Parkowa",49.937850,18.975594,20685,11457,benzen,C6H6,C6H6,10
"Racibórz, Wojska Polskiego",50.091142,18.216261,21128,11794,dwutlenek siarki,SO2,SO2,1
"Racibórz, Wojska Polskiego",50.091142,18.216261,21129,11794,pył zawieszony PM10,PM10,PM10,3
"Racibórz, Wojska Polskiego",50.091142,18.216261,21130,11794,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Cieszyn, ul. Chopina",49.755989,18.634075,26885,16406,pył zawieszony PM10,PM10,PM10,3
"Kielce, ul. Targowa",50.878998,20.633692,19740,11195,benzen,C6H6,C6H6,10
"Kielce, ul. Targowa",50.878998,20.633692,19745,11195,dwutlenek azotu,NO2,NO2,6
"Kielce, ul. Targowa",50.878998,20.633692,19747,11195,ozon,O3,O3,5
"Kielce, ul. Targowa",50.878998,20.633692,19749,11195,pył zawieszony PM10,PM10,PM10,3
"Kielce, ul. Targowa",50.878998,20.633692,19753,11195,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Kielce, ul. Targowa",50.878998,20.633692,19756,11195,dwutlenek siarki,SO2,SO2,1
"Kielce, ul. Warszawska 108",50.886014,20.642858,26005,16196,benzen,C6H6,C6H6,10
"Kielce, ul. Warszawska 108",50.886014,20.642858,26006,16196,tlenek węgla,CO,CO,8
"Kielce, ul. Warszawska 108",50.886014,20.642858,26008,16196,dwutlenek azotu,NO2,NO2,6
